ExperimentName,Subject,Session,Age,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Sex,Block,Procedure[Block],Running[Block],SpeakerList,SpeakerList.Cycle,SpeakerList.Sample,SpeakerNumber,Trial,Decision.ACC[Trial],Decision.CRESP[Trial],Decision.DurationError[Trial],Decision.OnsetDelay[Trial],Decision.OnsetTime[Trial],Decision.RESP[Trial],Decision.RT[Trial],Decision.RTTime[Trial],Procedure[Trial],RandomizeSound,Running[Trial],SecondSenarioList,SecondSenarioList.Cycle,SecondSenarioList.Sample,SenarioList,SenarioList.Cycle,SenarioList.Sample,SenarioNumber,SoundFile,SoundFile2,SoundStim
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,1,0,,-999999,27,105765,1,459,106224,SenarioProc,2,SenarioList,,,,7,1,1,7,2_7_pol.wav,2_7_cas.wav,2_7_pol.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,2,0,,-999999,39,111343,1,713,112056,SenarioProc,2,SenarioList,,,,10,1,2,10,2_10_pol.wav,2_10_cas.wav,2_10_pol.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,3,0,,-999999,21,118985,1,687,119672,SenarioProc,1,SenarioList,,,,4,1,3,4,2_4_cas.wav,2_4_pol.wav,2_4_cas.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,4,0,,-999999,38,125046,2,330,125376,SenarioProc,1,SenarioList,,,,2,1,4,2,2_2_cas.wav,2_2_pol.wav,2_2_cas.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,5,0,,-999999,21,130840,2,824,131664,SenarioProc,2,SenarioList,,,,9,1,5,9,2_9_pol.wav,2_9_cas.wav,2_9_pol.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,6,0,,-999999,24,137050,1,830,137880,SenarioProc,2,SenarioList,,,,1,1,6,1,2_1_pol.wav,2_1_cas.wav,2_1_pol.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,7,0,,-999999,29,143760,1,352,144112,SenarioProc,1,SenarioList,,,,5,1,7,5,2_5_cas.wav,2_5_pol.wav,2_5_cas.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,8,0,,-999999,33,148772,1,620,149392,SenarioProc,1,SenarioList,,,,6,1,8,6,2_6_cas.wav,2_6_pol.wav,2_6_cas.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,9,0,,-999999,30,155748,2,388,156136,SenarioProc,1,SenarioList,,,,8,1,9,8,2_8_cas.wav,2_8_pol.wav,2_8_cas.wav
PolitenessJapanese_Perception_ENG,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2597685</Frequency><Timestamp dt:dt=""r8"">1558297906726</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-05T20:57:56Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.06,Nonnative Speaker,-774700513,10/5/2017,13:57:56,8:57:56 PM,female,3,Blockproc,SpeakerList,2,1,1,2,10,0,,-999999,26,161809,2,1071,162880,SenarioProc,2,SenarioList,,,,3,1,10,3,2_3_pol.wav,2_3_cas.wav,2_3_pol.wav
