language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,notes,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz ,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Japanese,F,epr,epr_jpn,11,10,cas,casual,5.052,,214.5,226.8,48.1,97.4,288.8,191.4,92.34,93.9,4.97,-0.45,18.36,18.81,66.5,64.9,35,0.00805,0.00238,0.00374,0.0014,0.09527,0.09085,0.0361,0.63,-17.2,-22.1,15.7,0.0778,0.00805,0.00238,0.09527,0.0361
Japanese,F,epr,epr_jpn,11,10,pol,polite,6.912,,242.8,244.6,22.2,183,306.8,123.8,95.01,95.21,1.62,10.47,19.38,8.9,67,62.9,38.8,0.00974,0.00283,0.00531,0.0006,0.09236,0.08361,0.03367,5.4,-18.5,-22,15.5,0.1263,0.00974,0.00283,0.09236,0.03367
Japanese,F,epr,epr_jpn,11,1,cas,casual,6.082,,226.4,233.8,50.3,94.8,301,206.2,93.28,94.43,4.95,-0.92,19.08,20,67.1,64.8,40.4,0.00886,0.00256,0.0041,0.0016,0.07991,0.0665,0.03237,3.48,-20.2,-21.6,16.2,0.1034,0.00886,0.00256,0.07991,0.03237
Japanese,F,epr,epr_jpn,11,1,pol,polite,7.625,,232.1,234.8,36.8,99.1,333.1,234,94.03,94.5,3.33,-0.16,20.83,20.98,65.7,62.8,37.6,0.00994,0.00304,0.00395,0.0015,0.08097,0.06379,0.03024,0.28,-20.8,-22.5,15.6,0.1114,0.00994,0.00304,0.08097,0.03024
Japanese,F,epr,epr_jpn,11,2,cas,casual,5.848,,239.3,240.2,19.1,195.3,299,103.8,94.78,94.89,1.38,11.58,18.96,7.38,65.5,62,35.7,0.00896,0.00244,0.00403,0.0008,0.07453,0.06767,0.02613,4.3,-15.9,-20.5,15.7,0.0956,0.00896,0.00244,0.07453,0.02613
Japanese,F,epr,epr_jpn,11,2,pol,polite,7.111,,247.2,252.2,24.4,201.2,310.2,109,95.31,95.74,1.73,12.1,19.6,7.5,66.3,61.1,38,0.00883,0.00241,0.00444,0.0006,0.07831,0.07085,0.02583,4.72,-20.1,-21.9,15.9,0.1143,0.00883,0.00241,0.07837,0.02585
Japanese,F,epr,epr_jpn,11,3,cas,casual,6.725,,230.8,229.7,28.9,96.6,294.6,198,94.04,94.12,2.54,-0.59,18.7,19.3,65,63.4,31.4,0.00786,0.0025,0.00416,0.0007,0.07699,0.06695,0.02963,6.51,-20.6,-19.7,16.6,0.0839,0.00786,0.0025,0.07699,0.02963
Japanese,F,epr,epr_jpn,11,3,pol,polite,8.105,,221.9,235,54.3,104.1,316.5,212.5,92.84,94.52,5.23,0.69,19.95,19.26,65.5,62.8,34.5,0.01028,0.00318,0.00494,0.0016,0.09667,0.0821,0.04021,-0.95,-20.1,-20.3,14.4,0.1264,0.01028,0.00318,0.09648,0.04005
Japanese,F,epr,epr_jpn,11,4,cas,casual,8.058,,221.6,234.4,61.4,96.9,328.6,231.7,92.6,94.47,6.07,-0.55,20.52,21.07,66,63,36.7,0.00976,0.00318,0.00502,0.0017,0.09851,0.0873,0.03804,0.007,-20.3,-20.7,14.9,0.1028,0.00976,0.00318,0.09851,0.03804
Japanese,F,epr,epr_jpn,11,4,pol,polite,9.415,,231.1,243,49.4,100,315.9,215.9,93.67,95.1,4.83,0.005,19.91,19.91,66.3,63,35.5,0.0095,0.00286,0.0048,0.0011,0.08973,0.08253,0.03298,3.32,-19.6,-21.1,15.4,0.1081,0.0095,0.00286,0.08973,0.03298
