language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz ,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr,note
Japanese,M,perceptionstim,stim_jpn,9,9,pol,polite,1.402,121.3,121.6,17.8,101.7,159,57.3,82.9,83.11,2.45,0.29,8.02,7.73,68.8,61.2,36,0.02332,0.00709,0.01312,0.0011,0.14633,0.10462,0.05365,-0.86,-14.8,-16.6,8.7,0.2804,0.02332,0.00709,0.14633,0.05365,
Japanese,M,perceptionstim,stim_jpn,9,9,cas,casual,1.478,121.1,116.4,14.8,97.3,157.1,59.8,82.92,82.35,2.06,-0.47,7.82,8.29,68.9,62.1,39.2,0.02774,0.00754,0.01386,0.001,0.13176,0.12428,0.04541,2.33,-14.8,-16.8,9.8,0.2638,0.02774,0.00754,0.13176,0.04541,
Japanese,M,perceptionstim,stim_jpn,9,8,pol,polite,1.791,136.5,142.8,17.8,98,158,60,84.95,85.89,2.44,-0.33,7.92,8.25,73.1,67.8,35.2,0.01797,0.00526,0.00752,0.0013,0.11411,0.16967,0.03532,-3.52,-11.3,-23.8,11,0.1999,0.01797,0.00526,0.11411,0.03532,
Japanese,M,perceptionstim,stim_jpn,9,8,cas,casual,1.602,129.4,130.1,11.7,103.3,151.8,48.5,84.11,84.28,1.61,0.56,7.23,6.67,71.1,66.3,33.8,0.01974,0.00583,0.01017,0.0023,0.16081,0.43225,0.0511,5.66,-12.3,-24.8,9.9,0.2287,0.01974,0.00583,0.16081,0.0511,
Japanese,M,perceptionstim,stim_jpn,9,7,pol,polite,1.3,127.7,116.9,18.6,108.7,175.9,67.2,83.78,82.42,2.37,1.45,9.77,8.33,70.9,66.6,32.7,0.01726,0.0052,0.00815,0.002,0.13094,0.11943,0.02527,6.06,-13.8,-18.8,10.4,0.1832,0.01726,0.0052,0.13094,0.02527,
Japanese,M,perceptionstim,stim_jpn,9,7,cas,casual,1.247,123.5,116,13.9,110.2,157.2,47,83.28,82.3,1.85,1.67,7.82,6.15,70.6,66.3,37,0.01386,0.00352,0.0058,0.0011,0.1214,0.11331,0.04076,-2.83,-12.2,-16.2,10.4,0.1707,0.01386,0.00352,0.1214,0.04076,
Japanese,M,perceptionstim,stim_jpn,9,6,pol,polite,1.219,124.8,120,16,97.5,158.9,61.4,83.42,82.89,2.17,-0.44,7.93,8.37,71.5,69.8,30.3,0.02582,0.00974,0.01366,0.0022,0.1166,0.09612,0.04214,-5.94,-13,-18.8,10.1,0.2211,0.02582,0.00974,0.1166,0.04214,
Japanese,M,perceptionstim,stim_jpn,9,6,cas,casual,1.235,118.3,116.2,13,97.8,145.7,47.9,82.53,82.32,1.86,-0.39,6.51,6.9,69.6,68.6,33.9,0.01642,0.00534,0.00863,0.0017,0.12937,0.19106,0.04275,-2.07,-14.1,-21,11.1,0.1407,0.01642,0.00534,0.12937,0.04275,
Japanese,M,perceptionstim,stim_jpn,9,5,pol,polite,1.801,135.6,137.8,17.1,103.7,165,61.3,84.85,85.28,2.26,0.63,8.67,8.04,71.6,68.1,35.1,0.01793,0.00582,0.00912,0.0024,0.13083,0.25701,0.04596,2.6,-10.8,-18.7,10.3,0.2245,0.01793,0.00582,0.13083,0.04596,
Japanese,M,perceptionstim,stim_jpn,9,5,cas,casual,1.736,130.5,130.2,15.2,108,159,51,84.23,84.3,1.99,1.34,8.03,6.69,72.1,69.3,32.1,0.01505,0.00419,0.00696,0.0026,0.13847,0.11666,0.04519,-7.51,-11.1,-20.1,10.1,0.2071,0.01505,0.00419,0.13847,0.04519,
Japanese,M,perceptionstim,stim_jpn,9,4,pol,polite,2.035,136.1,140.5,14.9,107.1,157.3,50.2,84.95,85.62,1.98,1.2,7.84,6.64,72.4,65.4,36.7,0.01395,0.00323,0.00499,0.0011,0.1033,0.16769,0.03691,-3.17,-10,-22.7,9.6,0.1975,0.01395,0.00323,0.1033,0.03691,
