ExperimentName,Subject,Session,Age,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Sex,Block,Procedure[Block],Running[Block],SpeakerList,SpeakerList.Cycle,SpeakerList.Sample,SpeakerNumber,Trial,Decision.ACC,Decision.CRESP,Decision.DurationError,Decision.OnsetDelay,Decision.OnsetTime,Decision.RESP,Decision.RT,Decision.RTTime,Procedure[Trial],RandomizeSound,Running[Trial],SecondSenarioList,SecondSenarioList.Cycle,SecondSenarioList.Sample,SenarioList,SenarioList.Cycle,SenarioList.Sample,SenarioNumber,SoundFile,SoundFile2,SoundStim
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,1,0,,-999999,28,133904,2,541,134445,SenarioProc,2,SenarioList,,,,7,1,1,7,5_7_pan.wav,5_7_con.wav,5_7_pan.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,2,0,,-999999,30,140337,2,548,140885,SenarioProc,1,SenarioList,,,,5,1,2,5,5_5_con.wav,5_5_pan.wav,5_5_con.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,3,0,,-999999,36,147353,2,620,147973,SenarioProc,1,SenarioList,,,,3,1,3,3,5_3_con.wav,5_3_pan.wav,5_3_con.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,4,0,,-999999,30,153086,2,247,153333,SenarioProc,2,SenarioList,,,,9,1,4,9,5_9_pan.wav,5_9_con.wav,5_9_pan.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,5,0,,-999999,30,158386,1,483,158869,SenarioProc,1,SenarioList,,,,8,1,5,8,5_8_con.wav,5_8_pan.wav,5_8_con.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,6,0,,-999999,35,164152,1,613,164765,SenarioProc,1,SenarioList,,,,10,1,6,10,5_10_con.wav,5_10_pan.wav,5_10_con.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,7,0,,-999999,43,170019,1,506,170525,SenarioProc,1,SenarioList,,,,4,1,7,4,5_4_con.wav,5_4_pan.wav,5_4_con.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,8,0,,-999999,43,175869,1,872,176741,SenarioProc,1,SenarioList,,,,2,1,8,2,5_2_con.wav,5_2_pan.wav,5_2_con.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,9,0,,-999999,36,181502,2,223,181725,SenarioProc,2,SenarioList,,,,1,1,9,1,5_1_pan.wav,5_1_con.wav,5_1_pan.wav
KoreanPoliteness_Perception_2_Hangul,31,1,24,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">4772491452034</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-13T18:00:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.002,1,782969916,5/13/2013,11:00:00,6:00:00 PM,female,1,Blockproc,SpeakerList,5,1,1,5,10,0,,-999999,32,187018,2,723,187741,SenarioProc,1,SenarioList,,,,6,1,10,6,5_6_con.wav,5_6_pan.wav,5_6_con.wav
