language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,notes,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Korean,F,epr,epr_kor,2,10,con,polite,8.577,,195.5,193,24.4,144.5,244,99.5,91.2,91.11,2.17,6.37,15.44,9.07,59.2,56.3,30.6,0.01242,0.00371,0.00675,0.0011,0.12101,0.12134,0.05202,3.6,-13.5,-14.7,11,0.1901,0.01242,0.00371,0.12101,0.05202
Korean,F,epr,epr_kor,2,10,pan,casual,7.151,,188.5,185.6,32.1,82.6,286,203.3,90.41,90.43,3.36,-3.3,18.19,21.49,61.3,57.3,32.5,0.01248,0.0037,0.00682,0.001,0.11701,0.10675,0.04364,3.29,-11.6,-19.6,11.6,0.1686,0.01248,0.0037,0.11701,0.04364
Korean,F,epr,epr_kor,2,1,con,polite,7.208,,206.5,209.3,37.9,78.2,269.3,191.2,91.94,92.51,3.59,-4.26,17.15,21.41,58.9,56.7,30.5,0.01122,0.00306,0.00535,0.0011,0.09697,0.07852,0.04123,4.58,-15.3,-16,12.3,0.1537,0.01122,0.00306,0.09669,0.04103
Korean,F,epr,epr_kor,2,1,pan,casual,4.064,,199.6,194.2,47.4,90.3,288,197.7,91.15,91.21,4.48,-1.77,18.31,20.08,59.5,57.6,26.5,0.0142,0.00386,0.00583,0.0015,0.12553,0.13205,0.04939,0.49,-13.5,-16.8,10.4,0.182,0.0142,0.00386,0.12463,0.04878
Korean,F,epr,epr_kor,2,2,con,polite,7.413,,190.3,184.8,26.3,140.8,251.5,110.7,90.7,90.36,2.39,5.92,15.96,10.04,58.8,57,29.1,0.01049,0.00285,0.0052,0.001,0.1092,0.09745,0.04493,3.96,-17.5,-12.6,13,0.1541,0.01049,0.00285,0.1092,0.04493
Korean,F,epr,epr_kor,2,2,pan,casual,5.886,,193.7,188.5,29.6,80.8,263.4,182.6,90.96,90.7,2.81,-3.7,16.72,20.42,61.1,58.2,31.2,0.01134,0.00308,0.00526,0.0011,0.12594,0.12488,0.04863,2.17,-14.1,-16.8,11.5,0.1731,0.01134,0.00308,0.12611,0.04863
Korean,F,epr,epr_kor,2,3,con,polite,8.895,,210.4,209.1,36.8,95.1,291.5,196.4,92.31,92.5,3.35,-0.88,18.52,19.39,58,55.4,28.6,0.0094,0.00242,0.00462,0.0012,0.10006,0.08724,0.03781,3.14,-13.9,-14.8,13.3,0.1352,0.0094,0.00242,0.10006,0.03781
Korean,F,epr,epr_kor,2,3,pan,casual,7.508,,194.8,201.6,55.6,83.2,286.2,203,90.36,91.86,6.02,-3.17,18.2,21.37,58,55.6,27.8,0.01415,0.00386,0.00709,0.0018,0.10799,0.09487,0.04677,2.51,-15.7,-19.2,12.8,0.1501,0.01415,0.00386,0.10799,0.04677
Korean,F,epr,epr_kor,2,4,con,polite,9.65,,197.3,200.1,27.8,75.5,263.8,188.3,91.28,91.74,2.91,-4.86,16.79,21.65,60.7,58.3,28.7,0.01128,0.00353,0.00643,0.0009,0.1152,0.10239,0.04526,1.98,-14.6,-12.5,12.4,0.1581,0.01128,0.00353,0.11534,0.04527
Korean,F,epr,epr_kor,2,4,pan,casual,8.303,,210.8,210.1,35,93.1,285.9,192.8,92.36,92.58,3.19,-1.24,18.18,19.42,61.3,58.4,33.6,0.01095,0.0031,0.00563,0.0009,0.12231,0.12099,0.04947,2.74,-11.2,-15.1,12.1,0.1523,0.01095,0.0031,0.12237,0.04945
Korean,F,epr,epr_kor,2,5,con,polite,7.097,,191.6,187,25.2,94.7,252.6,157.9,90.83,90.56,2.39,-0.94,16.04,16.98,59.3,57.3,28.1,0.01229,0.00373,0.0064,0.0009,0.10712,0.10379,0.04352,3.81,-14,-15.2,11.8,0.1669,0.01229,0.00373,0.10712,0.04352
Korean,F,epr,epr_kor,2,5,pan,casual,5.242,,212.3,214.7,34.2,82,286.4,204.3,92.49,92.96,3.27,-3.41,18.21,21.63,61.6,58.8,29.4,0.01036,0.00266,0.00424,0.0011,0.11079,0.1068,0.04631,-0.02,-12.6,-17.9,12.4,0.1404,0.01036,0.00266,0.11079,0.04631
Korean,F,epr,epr_kor,2,6,con,polite,9.203,,203.1,201.1,41.1,83.3,298.8,215.6,91.62,91.82,3.68,-3.17,18.95,22.12,59.6,57.6,26.7,0.01194,0.00349,0.00547,0.0012,0.11925,0.10952,0.05105,4.59,-14.1,-14.5,12.2,0.171,0.01194,0.00349,0.11908,0.05095
