index,subject,gender,filename,interval,task,attitude,intst,inted,f0md,f0mn,f0sd,f0mx,f0mi,f0range,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr,h1h2mn,h1h2md,h1h2sd,h1h2cI,h1h2cH,h1a3,h1a3cI,h1a3cH,f0mnf
2,F1,F,Korean_F1,note_1_2_impol,not,inf,342.455,397.614,90.8,196.5,3.87,17.3,7,10.3,67.2,25.3,0.01639,0.00623,0.00695,0.0011,0.05736,0.05731,0.01652,9.73,-22.2,-22.4,18.6,0.0498,0.01634,0.00621,0.05727,0.01645,NA,NA,NA,3.01,16.8,-36.23,0,29.2,226.3
3,F1,F,Korean_F1,note_1_1_pol,not,pol,475.537,504.045,91.3,197.7,3.59,16.1,7.3,8.8,65.6,24.3,0.01837,0.00715,0.00762,0.001,0.06002,0.05222,0.01778,10.09,-23.5,-19.2,18.2,0.0555,0.01836,0.00714,0.05976,0.01754,NA,NA,NA,3.54,16.12,-39.97,-0.52,32.13,180.7
4,F1,F,Korean_F1,note_2_1_impol,not,inf,672.417,732.726,90.9,197.3,3.89,16.8,6.6,10.1,64.8,28.4,0.01979,0.00765,0.00862,0.0011,0.06303,0.0586,0.01912,11.35,-21.5,-22.5,17.4,0.0652,0.01975,0.00765,0.06292,0.01903,NA,NA,NA,4.67,15.83,-38.52,0.33,31.78,241.2
5,F1,F,Korean_F1,note_2_2_pol,not,pol,811.935,852.76,90.7,196.3,4.39,16.9,4.1,12.8,64.8,26.1,0.02091,0.00852,0.00893,0.0013,0.06508,0.06144,0.01921,9.29,-23.9,-21.1,17.7,0.0675,0.02075,0.00846,0.06467,0.01901,NA,NA,NA,4.54,14.68,-38.06,0,32.22,143.7
6,F1,F,Korean_F1,dct_1_1_pol,dct,pol,933.309,951.701,91.6,206.2,4.09,17.7,7.6,10.1,64.8,25.4,0.01674,0.00631,0.00681,0.0011,0.05178,0.04336,0.01534,11.22,-21.9,-20.8,18.9,0.0488,0.01648,0.00618,0.05152,0.01518,NA,NA,NA,5.26,16.21,-39.45,0,34.27,219.7
7,F1,F,Korean_F1,dct_1_2_impol,dct,inf,998.405,1011.956,91.6,204.6,2.95,17.6,8,9.6,65.1,28,0.01657,0.00583,0.00658,9.00E-04,0.0561,0.05473,0.01574,7,-21.7,-21.9,19.1,0.0419,0.01657,0.00583,0.0561,0.01573,NA,NA,NA,3.34,17.31,-41.2,0,35.69,266.3
8,F1,F,Korean_F1,dct_2_1_pol,dct,pol,1051.847,1057.064,96.9,266.7,2.08,20.3,13.2,7.1,67.4,19.1,0.01018,0.00447,0.00442,5.00E-04,0.04324,0.0361,0.01292,8.57,-20.7,-23,21,0.0229,0.01018,0.00447,0.04324,0.01292,NA,NA,NA,-3.18,11.34,-35.42,0,27.33,294.3
9,F1,F,Korean_F1,dct_2_2_impol,dct,inf,1097.925,1102.172,96.9,263.8,4.15,20.3,4.6,15.7,67.3,27.6,0.01885,0.00897,0.01068,9.00E-04,0.08521,0.0682,0.02299,12.95,-16.2,-17.1,15.1,0.0939,0.01885,0.00897,0.08521,0.02299,NA,NA,NA,2.91,18.42,-36.73,0,38.33,269.3
10,F1,F,Korean_F1,dct_3_1_pol,dct,pol,1150.611,1157.402,92.6,216.1,2.85,16.4,10,6.4,64.6,26.4,0.01633,0.00713,0.00722,7.00E-04,0.0481,0.03234,0.01607,12.5,-25.5,-16.6,20.9,0.0471,0.01633,0.00713,0.0481,0.01607,NA,NA,NA,3.82,16.76,-40.5,0,33.64,195.6
11,F1,F,Korean_F1,dct_3_2_impol,dct,inf,1195.142,1199.268,95.8,248.5,4.02,20.9,9.5,11.4,67.5,27.6,0.01646,0.00703,0.00741,9.00E-04,0.06294,0.05679,0.02188,5.2,-15.5,-26.2,16.4,0.0555,0.01646,0.00703,0.06294,0.02188,NA,NA,NA,6.28,17.99,-28.77,0,24.51,291.3
12,F1,F,Korean_F1,dct_4_1_pol,dct,pol,1249.704,1255.948,95.6,250.7,3.8,21.6,9.7,11.9,67.2,23.5,0.0164,0.00606,0.00709,9.00E-04,0.0487,0.04179,0.01355,9.56,-24.1,-19.6,19.2,0.0486,0.0164,0.00606,0.0487,0.01355,NA,NA,NA,6.1,10.1,-34.55,0,26.18,280.8
13,F1,F,Korean_F1,dct_4_2_impol,dct,inf,1290.967,1294.212,97.7,268.4,5.08,23.8,8.3,15.5,65.6,25,0.01727,0.00538,0.0062,0.0011,0.05471,0.0511,0.01678,10.66,-21.3,-24.8,19,0.0391,0.01727,0.00538,0.05471,0.01678,NA,NA,NA,0,19.31,-35.59,0,29.12,277.6
14,F1,F,Korean_F1,dct_5_1_pol,dct,pol,1328.043,1333.668,93.5,224.1,2.25,17.5,10.2,7.4,68.1,23.3,0.01437,0.00519,0.00635,6.00E-04,0.04775,0.03975,0.01386,11.85,-23.7,-22,20.3,0.0415,0.01437,0.00519,0.04775,0.01386,NA,NA,NA,4.06,13.91,-35.88,0,31.64,215.1
15,F1,F,Korean_F1,dct_5_2_impol,dct,inf,1372.424,1376.374,95.4,250.5,5.54,21.2,-0.05,21.2,65.7,25.2,0.01297,0.00449,0.00504,0.0013,0.05364,0.04983,0.01688,10.45,-15.8,-25.3,17.9,0.0386,0.01297,0.00449,0.05341,0.01671,NA,NA,NA,1.07,9.42,-34.16,0,27.01,241.2
17,F2,F,Korean_F2,note_1_2_impol,not,inf,271.801,311.491,93.9,217.7,6.52,21.3,1.1,20.2,66.3,28.4,0.01969,0.01007,0.00927,0.0018,0.06595,0.05341,0.02777,6.67,-16.9,-18.4,16.3,0.07,0.01968,0.01007,0.06593,0.02776,NA,NA,NA,-0.61,4.42,-30.12,-0.89,27.1,232.8
18,F2,F,Korean_F2,note_1_1_pol,not,pol,373.435,404.267,94.8,229.3,5.52,20.1,2,18.2,65.9,23.8,0.02153,0.01124,0.00999,0.0014,0.06073,0.05193,0.02421,11.26,-19.2,-15.8,17.4,0.0585,0.0215,0.01122,0.06071,0.0242,NA,NA,NA,2.44,5.35,-33.72,-0.51,28.03,234.2
19,F2,F,Korean_F2,note_2_1_impol,not,inf,446.933,499.805,95.1,247.3,3.92,20.6,6.7,13.9,64.2,27,0.02012,0.00995,0.00925,9.00E-04,0.06021,0.04918,0.02259,13.91,-19.4,-18.3,17.8,0.0619,0.02009,0.00994,0.06016,0.02257,NA,NA,NA,6.36,9.32,-39.65,0.22,32,277
20,F2,F,Korean_F2,note_2_2_pol,not,pol,555.562,601.317,95.3,244.7,4.99,21.2,4.1,17.1,64.2,25.8,0.02226,0.01126,0.00994,0.0012,0.06515,0.05319,0.02606,10.26,-19.7,-18.5,17.1,0.0689,0.02215,0.01122,0.06505,0.02601,NA,NA,NA,2.71,4.58,-35.14,-0.41,29.65,336.9
21,F2,F,Korean_F2,dct_1_1_pol,dct,pol,707.552,714.814,95.1,238.7,5.11,20,4.1,15.9,59.9,27.1,0.01636,0.00813,0.00744,0.0013,0.05515,0.0403,0.01933,12.04,-17.6,-16.1,17.5,0.0567,0.01626,0.00809,0.0551,0.01929,NA,NA,NA,1.74,3.99,-36.03,0,31.12,173.8
