subject,gender,jamo,scenario,task,attitude
F1,F,76,1,dct,pol
F1,F,63,1,dct,inf
F1,F,28,2,dct,pol
F1,F,17,2,dct,inf
F1,F,22,3,dct,pol
F1,F,20,3,dct,inf
F1,F,34,4,dct,pol
F1,F,16,4,dct,inf
F1,F,29,5,dct,pol
F1,F,20,5,dct,inf
F1,F,254,6,not,pol
F1,F,134,6,not,inf
F1,F,266,7,not,inf
F1,F,196,7,not,pol
F2,F,38,1,dct,pol
F2,F,42,1,dct,inf
F2,F,32,2,dct,pol
F2,F,20,2,dct,inf
F2,F,26,3,dct,pol
F2,F,24,3,dct,inf
F2,F,34,4,dct,pol
F2,F,29,4,dct,inf
F2,F,23,5,dct,pol
F2,F,16,5,dct,inf
F2,F,202,6,not,pol
F2,F,149,6,not,inf
F2,F,239,7,not,inf
F2,F,222,7,not,pol
F3,F,77,1,dct,pol
F3,F,50,1,dct,inf
F3,F,105,2,dct,pol
F3,F,33,2,dct,inf
F3,F,32,3,dct,pol
F3,F,37,3,dct,inf
F3,F,29,4,dct,pol
F3,F,23,4,dct,inf
F3,F,20,5,dct,pol
F3,F,25,5,dct,inf
F3,F,151,6,not,pol
F3,F,214,6,not,inf
F3,F,229,7,not,inf
F3,F,250,7,not,pol
F4,F,103,1,dct,pol
F4,F,42,1,dct,inf
F4,F,57,2,dct,pol
F4,F,27,2,dct,inf
F4,F,38,3,dct,pol
F4,F,18,3,dct,inf
F4,F,17,4,dct,pol
F4,F,14,4,dct,inf
F4,F,59,5,dct,pol
F4,F,42,5,dct,inf
F4,F,200,6,not,pol
F4,F,376,6,not,inf
F4,F,352,7,not,inf
F4,F,344,7,not,pol
F5,F,128,1,dct,pol
F5,F,59,1,dct,inf
F5,F,93,2,dct,pol
F5,F,43,2,dct,inf
F5,F,120,3,dct,pol
F5,F,41,3,dct,inf
F5,F,84,4,dct,pol
F5,F,31,4,dct,inf
F5,F,40,5,dct,pol
F5,F,22,5,dct,inf
F5,F,226,6,not,pol
F5,F,352,6,not,inf
F5,F,327,7,not,inf
F5,F,362,7,not,pol
F6,F,73,1,dct,pol
F6,F,26,1,dct,inf
F6,F,32,2,dct,pol
F6,F,40,2,dct,inf
F6,F,62,3,dct,pol
F6,F,35,3,dct,inf
F6,F,35,4,dct,pol
F6,F,11,4,dct,inf
F6,F,48,5,dct,pol
F6,F,6,5,dct,inf
F6,F,190,6,not,pol
F6,F,292,6,not,inf
F6,F,282,7,not,inf
F6,F,192,7,not,pol
F7,F,85,1,dct,pol
F7,F,78,1,dct,inf
F7,F,80,2,dct,pol
F7,F,74,2,dct,inf
F7,F,47,3,dct,pol
F7,F,51,3,dct,inf
F7,F,34,4,dct,pol
F7,F,16,4,dct,inf
F7,F,52,5,dct,pol
F7,F,49,5,dct,inf
F7,F,185,6,not,pol
F7,F,252,6,not,inf
F7,F,279,7,not,inf
F7,F,284,7,not,pol
F8,F,93,1,dct,pol
F8,F,61,1,dct,inf
F8,F,53,2,dct,pol
F8,F,40,2,dct,inf
F8,F,62,3,dct,pol
F8,F,27,3,dct,inf
F8,F,41,4,dct,pol
F8,F,28,4,dct,inf
F8,F,27,5,dct,pol
F8,F,32,5,dct,inf
F8,F,170,6,not,pol
F8,F,244,6,not,inf
F8,F,296,7,not,inf
F8,F,222,7,not,pol
F9,F,71,1,dct,pol
F9,F,68,1,dct,inf
F9,F,104,2,dct,pol
F9,F,17,2,dct,inf
F9,F,35,3,dct,pol
F9,F,27,3,dct,inf
F9,F,17,4,dct,pol
F9,F,11,4,dct,inf
F9,F,11,5,dct,pol
F9,F,16,5,dct,inf
F9,F,181,6,not,pol
F9,F,292,6,not,inf
F9,F,316,7,not,inf
F9,F,248,7,not,pol
M1,M,84,1,dct,pol
M1,M,63,1,dct,inf
M1,M,57,2,dct,pol
M1,M,31,2,dct,inf
M1,M,60,3,dct,pol
M1,M,17,3,dct,inf
M1,M,47,4,dct,pol
M1,M,25,4,dct,inf
M1,M,43,5,dct,pol
M1,M,34,5,dct,inf
M1,M,154,6,not,pol
M1,M,186,6,not,inf
M1,M,230,7,not,inf
M1,M,181,7,not,pol
M2,M,126,1,dct,pol
M2,M,50,1,dct,inf
M2,M,59,2,dct,pol
M2,M,11,2,dct,inf
M2,M,19,3,dct,pol
M2,M,13,3,dct,inf
M2,M,31,4,dct,pol
M2,M,12,4,dct,inf
M2,M,33,5,dct,pol
M2,M,26,5,dct,inf
M2,M,250,6,not,pol
M2,M,296,6,not,inf
M2,M,258,7,not,inf
M2,M,260,7,not,pol
M3,M,365,1,dct,pol
M3,M,250,1,dct,inf
M3,M,161,2,dct,pol
M3,M,135,2,dct,inf
M3,M,189,3,dct,pol
M3,M,148,3,dct,inf
M3,M,28,4,dct,pol
M3,M,53,4,dct,inf
M3,M,128,5,dct,pol
M3,M,71,5,dct,inf
M3,M,285,6,not,pol
M3,M,432,6,not,inf
M3,M,502,7,not,inf
M3,M,503,7,not,pol
M4,M,87,1,dct,pol
M4,M,73,1,dct,inf
M4,M,37,2,dct,pol
M4,M,31,2,dct,inf
M4,M,57,3,dct,pol
M4,M,31,3,dct,inf
M4,M,28,4,dct,pol
M4,M,46,4,dct,inf
M4,M,57,5,dct,pol
M4,M,32,5,dct,inf
M4,M,155,6,not,pol
M4,M,284,6,not,inf
M4,M,298,7,not,inf
M4,M,274,7,not,pol
M5,M,187,1,dct,pol
M5,M,91,1,dct,inf
M5,M,117,2,dct,pol
M5,M,69,2,dct,inf
M5,M,83,3,dct,pol
M5,M,49,3,dct,inf
M5,M,64,4,dct,pol
M5,M,61,4,dct,inf
M5,M,116,5,dct,pol
M5,M,67,5,dct,inf
M5,M,288,6,not,pol
M5,M,424,6,not,inf
M5,M,441,7,not,inf
M5,M,423,7,not,pol
M6,M,63,1,dct,pol
M6,M,59,1,dct,inf
M6,M,89,2,dct,pol
M6,M,21,2,dct,inf
M6,M,71,3,dct,pol
M6,M,59,3,dct,inf
M6,M,31,4,dct,pol
M6,M,35,4,dct,inf
M6,M,68,5,dct,pol
M6,M,59,5,dct,inf
M6,M,198,6,not,pol
M6,M,208,6,not,inf
M6,M,293,7,not,inf
M6,M,359,7,not,pol
M7,M,110,1,dct,pol
M7,M,117,1,dct,inf
M7,M,93,2,dct,pol
M7,M,52,2,dct,inf
M7,M,72,3,dct,pol
M7,M,63,3,dct,inf
M7,M,44,4,dct,pol
M7,M,45,4,dct,inf
M7,M,55,5,dct,pol
M7,M,36,5,dct,inf
M7,M,434,6,not,pol
M7,M,357,6,not,inf
M7,M,339,7,not,inf
M7,M,276,7,not,pol
